37436295,반딧불 (Little Light),청춘의 포말 (YOUTH) - The 1st Album,도영 (DOYOUNG)
36180700,심(心),심(心),DK(디셈버)
36334401,사랑하지 않아서 그랬어,사랑하지 않아서 그랬어,임한별
37248286,우리 영화,ASTERUM : 134-1,PLAVE
37390611,좋아해요,눈물의 여왕 OST Part.6,폴킴
37322101,멈춰줘,눈물의 여왕 OST Part.3,헤이즈 (Heize)
33496587,다정히 내 이름을 부르면,다정히 내 이름을 부르면 (경서예지 x 전건호),경서예지
37138471,Wife,2,(여자)아이들
37374433,Deja Vu,minisode 3: TOMORROW,투모로우바이투게더
37426262,By Your Side,By Your Side,Crush
37248282,Watch Me Woo!,ASTERUM : 134-1,PLAVE
37248285,From,ASTERUM : 134-1,PLAVE
36318125,Kitsch,I've IVE,IVE (아이브)
37229121,Shopper,The Winning,아이유
36713850,후라이의 꿈,Love Lee,AKMU (악뮤)
37463000,Ima -Even if the world ends tomorrow- (Korean Ver.),SEVENTEEN BEST ALBUM ‘17 IS RIGHT HERE',세븐틴 (SEVENTEEN)
37347913,Lucky Girl Syndrome,SUPER REAL ME,아일릿(ILLIT)
37248284,버추얼 아이돌,ASTERUM : 134-1,PLAVE
